roman,urdu,english,section_ids,notes
tax|taks|tex|texes,ٹیکس|محصول,tax / income tax,,
income tax|inkam tax|income taks,انکم ٹیکس,income tax,ITO2001-s4,
amdani|aamdani|amdni|aamdni|kamai|kamaai,آمدنی|آمدن|کمائی,income,ITO2001-s10 ITO2001-s11,
qabil e tax amdani|taxable income|taxable amdani,قابل ٹیکس آمدنی,taxable income,ITO2001-s9,
kul amdani|total amdani,کل آمدنی,total income,ITO2001-s10,
tankhwah|tankhwa|tankhah|tankha|tanqwah|salary|sallary|salry|pay,تنخواہ|تنخواه|سیلری,salary / income under the head salary,ITO2001-s12 ITO2001-s149,
mulazim|mulazmat|mulazim log|employee|mulazimeen,ملازم|ملازمت|ملازمین,employee / employment,ITO2001-s12,
malik|employer|aajir|company wala,آجر|مالک,employer (person paying salary),ITO2001-s149,
naukri|nokri|job,نوکری|ملازمت,employment,ITO2001-s12,
tankhwah dar|salaried|salary wala|salaried shakhs,تنخواہ دار,salaried individual,ITO2001-sch1-pI-divI,
katoti|kattoti|kataoti|katauti|kaT|kat|katna|katega|katay|kaat|kata,کٹوتی|کاٹنا|کٹے گا|کٹتا,withholding / deduction of tax at source,ITO2001-s149 ITO2001-s158,"verb forms: 'kitna tax katega' = how much tax will be withheld"
deduct|deduction|minha|minhai,منہا|کٹوتی,deduction,,
wasooli|wasuli|collection|wasool,وصولی,collection of tax / recovery,ITO2001-s138,
advance tax|peshgi tax|peshgi|pehle tax,ایڈوانس ٹیکس|پیشگی ٹیکس|پیشگی,advance tax,ITO2001-s147,
qist|qistain|installment|kist,قسط|اقساط,instalment (of advance tax),ITO2001-s147,
final tax|hatmi tax|akhri tax,حتمی ٹیکس,final tax (deduction treated as final discharge),ITO2001-s169,
adjust|adjustable|adjust hoga|minha hoga|credit milega,ایڈجسٹ|قابل ایڈجسٹ,credit for tax collected or deducted (adjustable),ITO2001-s168,
refund|rifund|wapsi|paise wapas|wapas milna,ریفنڈ|واپسی,refund of excess tax,ITO2001-s170,
filer|filar|filler|faailer|tax filer,فائلر,filer: person on the Active Taxpayers List (ATL),ITO2001-s181A,
non filer|nonfiler|non-filer|non filar|filer nahi|filer na ho,نان فائلر|غیر فائلر,person not on the Active Taxpayers List (non-ATL),ITO2001-s181A,
atl|active taxpayer|active tax payer|active taxpayers list,اے ٹی ایل|فعال ٹیکس دہندگان,Active Taxpayers' List (ATL),ITO2001-s181A,
tax dehinda|taxpayer|tax payer|tax dene wala,ٹیکس دہندہ|ٹیکس دہندگان,taxpayer,,
gosh wara|goshwara|return|ritarn|gosh-wara|income tax return,گوشوارہ|ریٹرن|ٹیکس ریٹرن,return of income,ITO2001-s114,
return file|return jama|return bharna|return dena|file karna|filing,ریٹرن فائل|گوشوارہ جمع,furnishing / filing the return of income,ITO2001-s114 ITO2001-s118,
akhri tareekh|aakhri tareekh|last date|due date|deadline|mehlat,آخری تاریخ|مقررہ تاریخ,due date,ITO2001-s118 ITO2001-s137,
